angle (TWA),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
85,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.8,7.1,7.2,7.4,7.5,7.6,7.8,7.9,8.0,8.1,8.1,8.2
86,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.8,7.1,7.2,7.4,7.5,7.7,7.8,7.9,8.0,8.1,8.2,8.3
87,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.8,7.1,7.2,7.4,7.5,7.7,7.8,7.9,8.0,8.1,8.2,8.3
88,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.8,7.1,7.3,7.4,7.5,7.7,7.8,7.9,8.0,8.1,8.2,8.3
89,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.4,7.6,7.7,7.8,7.9,8.1,8.2,8.3,8.4
90,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.4,7.6,7.7,7.8,8.0,8.1,8.2,8.3,8.4
91,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.5,7.6,7.7,7.8,8.0,8.1,8.2,8.3,8.4
92,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.5,7.6,7.7,7.9,8.0,8.1,8.2,8.4,8.5
93,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.5,7.6,7.7,7.9,8.0,8.1,8.3,8.4,8.5
94,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.6,7.8,7.9,8.0,8.2,8.3,8.4,8.6
95,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.6,7.8,7.9,8.1,8.2,8.3,8.5,8.6
96,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.8,7.9,8.1,8.2,8.4,8.5,8.6
97,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.8,8.0,8.1,8.2,8.4,8.5,8.7
98,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.8,8.0,8.1,8.3,8.4,8.6,8.7
99,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.8,8.0,8.1,8.3,8.4,8.6,8.7
100,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.0,8.2,8.3,8.5,8.6,8.8
